sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
975,9.75,1536,1529,2439,2432,1,0,1,40.97419435122675,40.78746299676152,59.5458984375
976,9.76,1536,1531,2438,2432,1,0,1,40.97419435122675,40.84081481232302,59.521484375
977,9.77,1536,1530,2436,2432,1,0,1,40.97419435122675,40.81413890454227,59.47265625
978,9.78,1536,1528,2437,2432,1,0,1,40.97419435122675,40.76078708898078,59.4970703125
979,9.79,1536,1530,2439,2432,1,0,1,40.97419435122675,40.81413890454227,59.5458984375
980,9.8,1536,1531,2437,2432,1,0,1,40.97419435122675,40.84081481232302,59.4970703125
981,9.81,1536,1536,2436,2432,1,0,1,40.97419435122675,40.97419435122675,59.47265625
982,9.82,1536,1530,2432,2432,1,0,1,40.97419435122675,40.81413890454227,59.375
983,9.83,1536,1530,2437,2432,1,0,1,40.97419435122675,40.81413890454227,59.4970703125
984,9.84,1536,1534,2437,2432,1,0,1,40.97419435122675,40.92084253566525,59.4970703125
985,9.85,1536,1530,2433,2432,1,0,1,40.97419435122675,40.81413890454227,59.3994140625
986,9.86,1536,1533,2437,2432,1,0,1,40.97419435122675,40.89416662788451,59.4970703125
987,9.87,1536,1532,2434,2432,1,0,1,40.97419435122675,40.86749072010376,59.423828125
988,9.88,1536,1535,2435,2432,1,0,1,40.97419435122675,40.947518443446,59.4482421875
989,9.89,1536,1534,2432,2432,1,0,1,40.97419435122675,40.92084253566525,59.375
990,9.9,1536,1533,2433,2432,1,0,1,40.97419435122675,40.89416662788451,59.3994140625
991,9.91,1536,1535,2434,2432,1,0,1,40.97419435122675,40.947518443446,59.423828125
992,9.92,1536,1534,2432,2432,1,0,1,40.97419435122675,40.92084253566525,59.375
993,9.93,1536,1534,2433,2432,1,0,1,40.97419435122675,40.92084253566525,59.3994140625
994,9.94,1536,1539,2433,2432,1,0,1,40.97419435122675,41.05422207456899,59.3994140625
995,9.95,1536,1534,2428,2431,1,0,1,40.97419435122675,40.92084253566525,59.27734375
996,9.96,1536,1532,2432,2431,1,0,1,40.97419435122675,40.86749072010376,59.375
997,9.97,1536,1538,2434,2431,1,0,1,40.97419435122675,41.02754616678824,59.423828125
998,9.98,1536,1534,2428,2430,1,0,1,40.97419435122675,40.92084253566525,59.27734375
