sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
251,2.51,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
252,2.52,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
253,2.53,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
254,2.54,1024,1019,1985,1977,1,0,1,27.3161295674845,27.182750028580767,48.4619140625
255,2.55,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
256,2.56,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
257,2.57,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
258,2.58,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
259,2.59,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
260,2.6,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
261,2.61,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
262,2.62,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
263,2.63,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
264,2.64,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
265,2.65,1024,1020,1980,1977,1,0,1,27.3161295674845,27.209425936361512,48.33984375
266,2.66,1024,1020,1980,1977,1,0,1,27.3161295674845,27.209425936361512,48.33984375
267,2.67,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
268,2.68,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
269,2.69,1024,1024,1980,1977,1,0,1,27.3161295674845,27.3161295674845,48.33984375
270,2.7,1024,1020,1977,1977,1,0,1,27.3161295674845,27.209425936361512,48.2666015625
271,2.71,1024,1023,1980,1977,1,0,1,27.3161295674845,27.289453659703753,48.33984375
272,2.72,1024,1019,1977,1977,1,0,1,27.3161295674845,27.182750028580767,48.2666015625
273,2.73,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
274,2.74,1024,1024,1980,1977,1,0,1,27.3161295674845,27.3161295674845,48.33984375
275,2.75,1024,1020,1977,1977,1,0,1,27.3161295674845,27.209425936361512,48.2666015625
276,2.76,1024,1023,1980,1977,1,0,1,27.3161295674845,27.289453659703753,48.33984375
277,2.77,1024,1022,1977,1977,1,0,1,27.3161295674845,27.262777751923004,48.2666015625
278,2.78,1024,1020,1978,1977,1,0,1,27.3161295674845,27.209425936361512,48.291015625
279,2.79,1024,1021,1980,1977,1,0,1,27.3161295674845,27.236101844142258,48.33984375
280,2.8,1024,1019,1979,1977,1,0,1,27.3161295674845,27.182750028580767,48.3154296875
281,2.81,1024,1021,1981,1977,1,0,1,27.3161295674845,27.236101844142258,48.3642578125
282,2.82,1024,1022,1979,1977,1,0,1,27.3161295674845,27.262777751923004,48.3154296875
283,2.83,1024,1021,1978,1977,1,0,1,27.3161295674845,27.236101844142258,48.291015625
284,2.84,1024,1022,1979,1977,1,0,1,27.3161295674845,27.262777751923004,48.3154296875
285,2.85,1024,1021,1978,1977,1,0,1,27.3161295674845,27.236101844142258,48.291015625
286,2.86,1024,1021,1979,1977,1,0,1,27.3161295674845,27.236101844142258,48.3154296875
287,2.87,1024,1020,1979,1977,1,0,1,27.3161295674845,27.209425936361512,48.3154296875
288,2.88,1024,1021,1980,1977,1,0,1,27.3161295674845,27.236101844142258,48.33984375
289,2.89,1024,1019,1979,1977,1,0,1,27.3161295674845,27.182750028580767,48.3154296875
290,2.9,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
291,2.91,1024,1024,1980,1977,1,0,1,27.3161295674845,27.3161295674845,48.33984375
292,2.92,1024,1020,1977,1977,1,0,1,27.3161295674845,27.209425936361512,48.2666015625
293,2.93,1024,1022,1980,1977,1,0,1,27.3161295674845,27.262777751923004,48.33984375
294,2.94,1024,1018,1978,1977,1,0,1,27.3161295674845,27.156074120800017,48.291015625
295,2.95,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
